Year,Export_Values,Import_Values,Export_Growth,Import_Growth
2010,107180.49,216140.48,0,0
2011,136789.12,297505.31,27.6250183218979,37.6444199624244
2012,137875.04,304915.28,0.793864307336733,2.49070176260048
2013,145995.29,294645.95,5.88957218072249,-3.36792895390484
2014,144511.19,278390.62,-1.01653964316246,-5.51690257408935
2015,109775.62,219791.43,-24.0365953667671,-21.0492688295317
2016,116118.25,228731.55,5.77781296065557,4.06754712865738
2017,132968.02,281516.17,14.5108714607738,23.0771050167762
2018,154192.92,336210.75,15.9624096079644,19.4285749198705
2019,146576.24,313870.17,-4.93970799696901,-6.64481430174378
2020,125869.05,241918.31,-14.1272487273517,-22.9240835470284
2021,206280.25,386849.09,63.8848072659641,59.9089750585642
2022,483083.64,962435.16,134.188023332335,148.788270382128
2023,938364.84,1795709.2,94.2447978573648,86.579758786036
2024,1477180.80411448,2468514.46774675,57.4207324428821,37.4673843485766
2025,2016841.74358417,2688205.94520435,36.5331676370651,8.89974437371361
2026,2542618.53897523,2521276.60915147,26.0693134235059,-6.20969298690345
2027,3091824.89911382,2282647.7163156,21.6000297221125,-9.46460582586298
2028,3701083.33760885,2222457.48811718,19.7054638724742,-2.63686015884993
2029,4370873.62905566,2323095.61695874,18.0971415758375,4.52823639505578
2030,5071524.65234902,2376701.28104888,16.0299995551401,2.30751001804698
2031,5773161.87055378,2229876.46055946,13.8348379688893,-6.17767245973044
2032,6467571.57463348,1941450.90782837,12.0282389382075,-12.9345978502649
2033,7166145.21346852,1714573.55011404,10.801173682792,-11.6859693335284
2034,7882621.45636738,1695172.25123414,9.9980703928838,-1.13155244221589
2035,8619360.83501144,1843639.25233733,9.34637522202646,8.75822507093942
2036,9367414.09385811,1992357.47627778,8.67875557324512,8.06655769299258
2037,10116180.0774974,2013299.82405929,7.99330504808402,1.05113404752205
2038,10861761.7537737,1926163.34407996,7.37018984008359,-4.32804289445778
2039,11607448.8491121,1854453.8761066,6.8652499681222,-3.72291727977054
2040,12358236.3867184,1890905.34069781,6.46815288497826,1.96561721274712
2041,13115667.9223985,2010479.12871123,6.12896138233939,6.32362633072346
2042,13877160.1221409,2106656.81685146,5.80597346812919,4.78381927803883
2043,14639021.634096,2101176.4146093,5.49003906598688,-0.260146892380668
2044,15399554.9305626,2014579.28804697,5.19524675539235,-4.12136391595807
2045,16159635.6886932,1935888.73585084,4.93573198418956,-3.90605386757555
2046,16921029.7426693,1932205.2348298,4.7117030893763,-0.19027441778156
2047,17684506.4816709,1990289.17492408,4.51199927316717,3.00609578357748
